NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA
4+0+20,554790000915528+[0;0;0;0]+0+8+1800
4+3763+54,59879699707031+[0,518;0,519;0,531;0,523]+0,52275+8+1800
4+3769+54,59879699707031+[0,518;0,519;0,532;0,524]+0,52325+8+1800
4+3781+54,59879699707031+[0,521;0,521;0,534;0,525]+0,52525+8+1800
4+3793+54,59879699707031+[0,522;0,522;0,537;0,527]+0,527+8+1800
4+3425+49,77998000335693+[0,463;0,478;0,483;0,478]+0,4755+8+1800
4+3431+49,77998000335693+[0,464;0,478;0,484;0,48]+0,4765+8+1800
4+3447+49,77998000335693+[0,466;0,48;0,488;0,482]+0,479+8+1800
4+3112+44,07591200256348+[0,422;0,424;0,443;0,439]+0,432+8+1800
4+3113+44,07591200256348+[0,422;0,424;0,444;0,439]+0,43225+8+1800
4+3126+44,07591200256348+[0,424;0,425;0,447;0,441]+0,43425+8+1800
4+3136+44,07591200256348+[0,425;0,427;0,448;0,442]+0,4355+8+1800
4+2859+58,726756004333495+[0,389;0,393;0,397;0,409]+0,397+8+1800
4+2872+58,726756004333495+[0,389;0,394;0,399;0,413]+0,39875+8+1800
4+2878+58,726756004333495+[0,39;0,395;0,4;0,414]+0,39975+8+1800
4+2610+57,785191993713376+[0,353;0,36;0,364;0,373]+0,3625+8+1800
4+2623+57,785191993713376+[0,354;0,36;0,368;0,376]+0,36449999999999994+8+1800
4+2639+57,785191993713376+[0,357;0,362;0,369;0,379]+0,36675+8+1800
4+2388+42,27416399383545+[0,321;0,33;0,335;0,341]+0,33175+8+1800
4+2388+42,27416399383545+[0,321;0,33;0,335;0,341]+0,33175+8+1800
4+2403+42,27416399383545+[0,324;0,332;0,336;0,343]+0,33375+8+1800
4+2416+42,27416399383545+[0,326;0,334;0,337;0,345]+0,3355+8+1800
4+2203+47,83324700164795+[0,292;0,3;0,312;0,32]+0,306+8+1800
4+2221+47,83324700164795+[0,294;0,304;0,315;0,321]+0,3085+8+1800
4+2225+47,83324700164795+[0,294;0,304;0,315;0,323]+0,309+8+1800
4+2040+39,62879500579834+[0,268;0,279;0,289;0,297]+0,28325+8+1800
4+2047+39,62879500579834+[0,268;0,279;0,291;0,299]+0,28425+8+1800
4+2057+39,62879500579834+[0,269;0,281;0,292;0,3]+0,28550000000000003+8+1800
4+1879+45,32863800048828+[0,247;0,262;0,262;0,273]+0,261+8+1800
4+1889+45,32863800048828+[0,249;0,262;0,263;0,276]+0,2625+8+1800
4+1899+45,32863800048828+[0,251;0,264;0,263;0,276]+0,2635+8+1800
4+1913+45,32863800048828+[0,253;0,267;0,264;0,278]+0,2655+8+1800
4+1715+37,65124099731445+[0,225;0,241;0,237;0,25]+0,23825+8+1800
4+1717+37,65124099731445+[0,225;0,242;0,237;0,251]+0,23875+8+1800
4+1734+37,65124099731445+[0,226;0,245;0,239;0,253]+0,24075+8+1800
4+1595+37,38516600036621+[0,206;0,226;0,219;0,236]+0,22175+8+1800
4+1600+37,38516600036621+[0,206;0,227;0,22;0,236]+0,22225+8+1800
4+1620+37,38516600036621+[0,211;0,23;0,222;0,237]+0,225+8+1800
4+1455+41,844812995910644+[0,189;0,204;0,199;0,216]+0,202+8+1800
4+1462+41,844812995910644+[0,19;0,206;0,2;0,216]+0,203+8+1800
4+1476+41,844812995910644+[0,192;0,208;0,202;0,218]+0,20500000000000002+8+1800
4+1489+41,844812995910644+[0,193;0,211;0,203;0,22]+0,20675+8+1800
4+1364+35,83260799407959+[0,178;0,194;0,185;0,201]+0,1895+8+1800
4+1368+35,83260799407959+[0,178;0,194;0,186;0,202]+0,19+8+1800
4+1383+35,83260799407959+[0,181;0,196;0,188;0,204]+0,19224999999999998+8+1800
4+1273+39,636087997436526+[0,165;0,182;0,172;0,189]+0,177+8+1800
4+1279+39,636087997436526+[0,165;0,183;0,172;0,19]+0,1775+8+1800
4+1289+39,636087997436526+[0,166;0,184;0,174;0,192]+0,179+8+1800
4+1189+40,874734001159666+[0,149;0,169;0,164;0,178]+0,16499999999999998+8+1800
4+1193+40,874734001159666+[0,15;0,169;0,165;0,178]+0,16549999999999998+8+1800
4+1195+40,874734001159666+[0,15;0,169;0,166;0,178]+0,16575+8+1800
4+1221+40,874734001159666+[0,154;0,171;0,172;0,181]+0,16949999999999998+8+1800
4+1160+45,02546600341797+[0,142;0,165;0,164;0,174]+0,16125+8+1800
4+1170+45,02546600341797+[0,142;0,166;0,166;0,176]+0,16249999999999998+8+1800
4+1089+37,58459199523926+[0,129;0,155;0,153;0,167]+0,15100000000000002+8+1800
