NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA
4+0+26,360607002258302+[0;0;0;0]+0+8+1800
4+6975+93,33635099792481+[1,017;0,993;0,943;0,923]+0,969+8+1800
4+6989+75,45863599777222+[1,009;0,997;0,949;0,927]+0,9704999999999999+8+1800
4+7091+91,62399699783325+[1,017;1,013;0,963;0,947]+0,985+8+1800
4+7150+85,79820800018311+[1,018;1,016;0,974;0,965]+0,99325+8+1800
4+7153+76,70357300186157+[1,013;1,012;0,977;0,972]+0,9934999999999999+8+1800
4+7208+78,51387200164795+[1,017;1,016;0,987;0,984]+1,001+8+1800
4+7261+84,90607299804688+[1,021;1,028;0,991;0,994]+1,0085+8+1800
4+7218+89,28237199783325+[1,008;1,021;0,986;0,996]+1,0027499999999998+8+1800
4+7262+78,67152000045776+[1,014;1,022;0,997;1,001]+1,0085+8+1800
4+7299+75,53927500152588+[1,019;1,023;1,007;1,006]+1,01375+8+1800
4+7249+75,71577300262452+[1,011;1,018;0,997;1,001]+1,0067499999999998+8+1800
4+7275+76,82678300094605+[1,015;1,021;0,998;1,008]+1,0105+8+1800
4+7343+76,39345400238037+[1,025;1,029;1,01;1,016]+1,02+8+1800
4+7321+85,96974900054931+[1,023;1,023;1,008;1,013]+1,01675+8+1800
4+7442+76,2926489982605+[1,035;1,047;1,027;1,026]+1,03375+8+1800
4+7477+79,55074499893189+[1,039;1,052;1,033;1,03]+1,0385+8+1800
4+7428+83,09640200042725+[1,027;1,041;1,033;1,026]+1,03175+8+1800
4+7452+79,17873399734498+[1,025;1,044;1,034;1,037]+1,035+8+1800
4+7476+74,0213390007019+[1,021;1,044;1,048;1,041]+1,0385+8+1800
4+7378+83,64408799743653+[1,004;1,028;1,031;1,036]+1,02475+8+1800
4+7366+74,71972599792481+[0,994;1,024;1,038;1,036]+1,0230000000000001+8+1800
4+7348+81,21902899932861+[0,988;1,02;1,033;1,042]+1,02075+8+1800
4+7233+82,9045419998169+[0,97;1,001;1,016;1,031]+1,0045+8+1800
4+7189+74,04461199951172+[0,961;0,99;1,014;1,028]+0,99825+8+1800
4+7155+78,28281900024415+[0,957;0,983;1,009;1,026]+0,9937499999999999+8+1800
4+7008+82,95835000228882+[0,932;0,966;0,989;1,006]+0,97325+8+1800
4+6969+82,8301070022583+[0,926;0,956;0,984;1,006]+0,968+8+1800
4+5100+67,52568199920654+[0,664;0,702;0,725;0,742]+0,70825+8+1800
4+4955+65,66193399810791+[0,645;0,681;0,708;0,718]+0,688+8+1800
4+4901+80,27796200180053+[0,638;0,669;0,702;0,714]+0,68075+8+1800
4+4854+63,25934999847412+[0,632;0,658;0,697;0,709]+0,674+8+1800
4+3355+48,91337099838257+[0,424;0,45;0,491;0,499]+0,46599999999999997+8+1800
4+3307+63,5774169998169+[0,417;0,447;0,484;0,489]+0,45924999999999994+8+1800
4+3250+51,96687899780274+[0,41;0,435;0,478;0,482]+0,45125+8+1800
4+3113+52,94993000030517+[0,393;0,413;0,456;0,468]+0,4325+8+1800
4+3046+54,86520300292969+[0,386;0,4;0,449;0,458]+0,42325+8+1800
4+2993+56,764927001953126+[0,378;0,395;0,44;0,45]+0,41575+8+1800
4+2842+53,96107200241089+[0,353;0,379;0,422;0,425]+0,39475+8+1800
4+2788+53,638191997528075+[0,347;0,372;0,412;0,418]+0,38725+8+1800
4+2743+60,677112003326414+[0,338;0,369;0,409;0,407]+0,38075000000000003+8+1800
4+1456+47,30894199752807+[0,159;0,182;0,226;0,241]+0,20199999999999999+8+1800
4+1395+42,02634000015259+[0,149;0,175;0,217;0,234]+0,19374999999999998+8+1800
4+1351+50,57407999801636+[0,146;0,168;0,212;0,226]+0,188+8+1800
4+1232+44,200717998504636+[0,143;0,147;0,189;0,204]+0,17074999999999999+8+1800
4+1193+43,3020060005188+[0,143;0,145;0,179;0,196]+0,16575+8+1800
4+1178+41,538378002166745+[0,146;0,147;0,171;0,191]+0,16375+8+1800
4+1105+51,816582000732424+[0,143;0,143;0,157;0,171]+0,1535+8+1800
4+1085+52,206425003051756+[0,142;0,146;0,153;0,162]+0,15075+8+1800
4+1091+50,47991100311279+[0,145;0,147;0,154;0,161]+0,15175+8+1800
4+778+36,42576300048828+[0,112;0,109;0,109;0,102]+0,108+8+1800
4+783+36,97340099716187+[0,112;0,109;0,108;0,106]+0,10875+8+1800
4+795+37,97213600158691+[0,111;0,11;0,115;0,106]+0,1105+8+1800
4+788+55,818536998748776+[0,109;0,114;0,109;0,106]+0,1095+8+1800
4+799+40,590215999603274+[0,112;0,114;0,108;0,111]+0,11125+8+1800
4+815+47,53730300140381+[0,111;0,115;0,111;0,117]+0,1135+8+1800
4+795+36,21257699966431+[0,109;0,111;0,108;0,113]+0,11025+8+1800
4+814+39,419234001159666+[0,111;0,112;0,114;0,116]+0,11325+8+1800
4+815+38,49164100265503+[0,111;0,113;0,113;0,116]+0,11325+8+1800
4+799+36,204881000518796+[0,112;0,107;0,108;0,117]+0,111+8+1800
4+813+35,44702000045776+[0,113;0,111;0,109;0,119]+0,113+8+1800
4+812+44,39006700134277+[0,114;0,113;0,107;0,118]+0,113+8+1800
4+829+45,495651000976565+[0,113;0,115;0,114;0,118]+0,115+8+1800
4+800+40,70201399993896+[0,113;0,114;0,108;0,108]+0,11075+8+1800
4+818+39,90914699935913+[0,113;0,113;0,111;0,117]+0,1135+8+1800
4+826+43,74611000061035+[0,111;0,113;0,113;0,122]+0,11475+8+1800
4+806+38,13687799835205+[0,11;0,109;0,111;0,118]+0,112+8+1800
4+817+39,76211600112915+[0,111;0,111;0,112;0,121]+0,11375+8+1800
4+790+42,51720700073242+[0,107;0,106;0,106;0,121]+0,11+8+1800
4+806+36,68747700119019+[0,111;0,11;0,107;0,121]+0,11225+8+1800
4+815+38,57013899993896+[0,111;0,11;0,112;0,121]+0,1135+8+1800
4+818+38,67078900146485+[0,112;0,112;0,109;0,121]+0,1135+8+1800
4+785+44,64793799972534+[0,108;0,106;0,103;0,118]+0,10875+8+1800
4+804+44,88496700286865+[0,111;0,108;0,109;0,119]+0,11175+8+1800
4+815+44,70391199874878+[0,114;0,112;0,112;0,116]+0,1135+8+1800
4+794+38,57049200057983+[0,108;0,111;0,11;0,112]+0,11025+8+1800
4+802+42,701151000976566+[0,108;0,114;0,112;0,112]+0,1115+8+1800
4+810+45,1811370010376+[0,109;0,112;0,114;0,114]+0,11225+8+1800
4+795+40,72673399734497+[0,106;0,109;0,118;0,109]+0,11049999999999999+8+1800
4+806+47,729641998291015+[0,106;0,112;0,117;0,113]+0,112+8+1800
4+832+37,78526300048828+[0,111;0,114;0,118;0,12]+0,11574999999999999+8+1800
4+803+37,26371300125122+[0,107;0,107;0,116;0,116]+0,1115+8+1800
4+806+43,956604999542236+[0,104;0,108;0,117;0,119]+0,112+8+1800
4+823+42,11576499938965+[0,111;0,113;0,114;0,119]+0,11425+8+1800
4+785+41,94851900100708+[0,104;0,107;0,113;0,111]+0,10875+8+1800
4+788+41,11485699844361+[0,106;0,107;0,114;0,111]+0,1095+8+1800
4+797+37,88896599960327+[0,108;0,109;0,114;0,112]+0,11075+8+1800
4+781+39,55844300079346+[0,107;0,103;0,114;0,109]+0,10825+8+1800
4+789+44,61436700057983+[0,108;0,104;0,114;0,112]+0,1095+8+1800
4+802+38,90239999771118+[0,106;0,108;0,118;0,113]+0,11124999999999999+8+1800
4+779+38,64904299926758+[0,104;0,107;0,113;0,108]+0,108+8+1800
4+785+37,70438299942017+[0,104;0,106;0,116;0,11]+0,109+8+1800
4+806+47,59046699905395+[0,108;0,107;0,122;0,111]+0,11199999999999999+8+1800
4+773+39,37715600204468+[0,101;0,102;0,117;0,109]+0,10725+8+1800
4+770+37,94266300201416+[0,097;0,103;0,117;0,111]+0,107+8+1800
4+778+37,18688499832153+[0,094;0,103;0,118;0,117]+0,108+8+1800
4+730+43,19736499786377+[0,086;0,096;0,108;0,116]+0,10149999999999999+8+1800
4+714+53,474576000213624+[0,082;0,092;0,108;0,115]+0,09924999999999999+8+1800
