NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+29,22806900024414+[0;0;0;0]+0+8+1800+1+20
4+2187+113,48892700004578+[0,315;0,309;0,302;0,289]+0,30374999999999996+8+1800+1+2720
4+2227+127,84012899971009+[0,321;0,314;0,309;0,293]+0,30924999999999997+8+1800+1+2740
4+2271+120,6150090007782+[0,326;0,32;0,312;0,304]+0,3155+8+1800+1+2760
4+2314+124,95236900138855+[0,332;0,328;0,316;0,309]+0,32125+8+1800+1+2800
4+2354+118,89911700057984+[0,336;0,333;0,323;0,316]+0,327+8+1800+1+2820
4+2391+139,77154700088502+[0,343;0,338;0,329;0,319]+0,33225+8+1800+1+2840
4+2423+110,77507399940491+[0,346;0,343;0,333;0,324]+0,3365+8+1800+1+2880
4+2477+123,76216300010681+[0,353;0,351;0,34;0,333]+0,34425+8+1800+1+2900
4+2515+118,06883799934387+[0,359;0,356;0,344;0,338]+0,34925+8+1800+1+2920
4+2551+119,4370440006256+[0,364;0,359;0,352;0,342]+0,35425+8+1800+1+2960
4+2582+119,62132600021363+[0,368;0,364;0,356;0,347]+0,35875+8+1800+1+2980
4+2625+115,52976799964905+[0,374;0,373;0,361;0,351]+0,36475+8+1800+1+3000
4+2664+121,91473400115967+[0,381;0,379;0,363;0,357]+0,37+8+1800+1+3040
4+2708+118,62396800041199+[0,387;0,384;0,373;0,361]+0,37625000000000003+8+1800+1+3060
4+2759+144,0447089996338+[0,394;0,392;0,379;0,367]+0,383+8+1800+1+3080
4+2792+125,88952000045776+[0,397;0,398;0,383;0,373]+0,38775+8+1800+1+3120
4+2847+130,16164200019836+[0,404;0,405;0,391;0,382]+0,3955000000000001+8+1800+1+3140
4+2886+167,75166799926757+[0,411;0,409;0,396;0,387]+0,40075+8+1800+1+3160
4+2935+138,1050830001831+[0,416;0,414;0,404;0,397]+0,40775+8+1800+1+3201
4+2976+132,2546969985962+[0,419;0,422;0,41;0,402]+0,41325+8+1800+1+3221
4+3023+141,12358099937438+[0,426;0,43;0,416;0,407]+0,41975+8+1800+1+3241
4+3063+149,86961600112915+[0,434;0,433;0,422;0,412]+0,42524999999999996+8+1800+1+3281
4+3103+127,07994499969483+[0,437;0,437;0,432;0,418]+0,431+8+1800+1+3301
4+3151+131,80784499931335+[0,443;0,446;0,438;0,423]+0,4375+8+1800+1+3322
4+3183+139,2625869998932+[0,446;0,448;0,442;0,432]+0,442+8+1800+1+3362
4+3230+134,15809499931336+[0,454;0,455;0,449;0,436]+0,4485+8+1800+1+3382
4+3265+142,40628600120544+[0,458;0,462;0,452;0,442]+0,4535+8+1800+1+3402
4+3299+133,77823500061035+[0,464;0,464;0,457;0,447]+0,458+8+1800+1+3442
4+3338+147,0877110004425+[0,471;0,471;0,464;0,448]+0,46349999999999997+8+1800+1+3462
4+3374+137,84051700019836+[0,476;0,475;0,469;0,454]+0,46849999999999997+8+1800+1+3482
4+3406+135,94281800079347+[0,481;0,48;0,473;0,458]+0,473+8+1800+1+3522
4+3455+140,73351100158692+[0,489;0,487;0,48;0,463]+0,47975+8+1800+1+3542
4+3496+151,83023600006103+[0,494;0,493;0,487;0,468]+0,4855+8+1800+1+3562
4+3533+154,86047200012206+[0,501;0,499;0,491;0,472]+0,49075+8+1800+1+3602
4+3582+154,0326549987793+[0,506;0,507;0,496;0,481]+0,49749999999999994+8+1800+1+3622
4+3624+148,18200699996947+[0,512;0,511;0,504;0,486]+0,50325+8+1800+1+3642
4+3653+144,56535800170897+[0,517;0,514;0,51;0,488]+0,50725+8+1800+1+3682
4+3706+160,23435999679566+[0,523;0,52;0,518;0,497]+0,5145000000000001+8+1800+1+3702
4+3753+143,75901499938965+[0,531;0,525;0,523;0,506]+0,52125+8+1800+1+3722
4+3800+159,26017100143432+[0,536;0,534;0,527;0,514]+0,5277499999999999+8+1800+1+3762
4+3841+154,69809799957275+[0,543;0,538;0,533;0,52]+0,5335+8+1800+1+3782
4+3876+149,72546599960327+[0,548;0,544;0,538;0,523]+0,53825+8+1800+1+3802
4+3914+168,79383100128175+[0,552;0,552;0,544;0,527]+0,5437500000000001+8+1800+1+3842
4+3957+167,94458099746703+[0,557;0,556;0,551;0,534]+0,5495000000000001+8+1800+1+3862
4+3986+147,40735400009154+[0,561;0,558;0,556;0,539]+0,5535000000000001+8+1800+1+3882
4+4019+167,35938499832153+[0,563;0,562;0,562;0,546]+0,55825+8+1800+1+3923
4+4055+167,8638629989624+[0,564;0,568;0,567;0,554]+0,56325+8+1800+1+3943
4+4083+162,1854350013733+[0,567;0,568;0,572;0,561]+0,567+8+1800+1+3963
4+4095+156,33453099822998+[0,568;0,572;0,573;0,562]+0,56875+8+1800+1+4003
4+4118+156,34118299865722+[0,571;0,573;0,577;0,567]+0,572+8+1800+1+4024
4+4133+157,86755100250244+[0,572;0,576;0,579;0,569]+0,574+8+1800+1+4044
4+4152+155,31742100143433+[0,574;0,579;0,583;0,57]+0,5765+8+1800+1+4064
4+4166+173,6429289970398+[0,577;0,581;0,586;0,572]+0,579+8+1800+1+4105
4+4180+156,256125+[0,578;0,583;0,587;0,574]+0,5805+8+1800+1+4125
4+4196+180,26354000091553+[0,58;0,584;0,589;0,578]+0,58275+8+1800+1+4146
4+4212+182,8391130027771+[0,582;0,584;0,592;0,582]+0,585+8+1800+1+4186
