NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+25,102861000061036+[0;0;0;0]+0+8+1800+1+20
4+12438+161,3194590034485+[1,741;1,719;1,726;1,724]+1,7275+8+1800+1+4043
4+12484+157,40872399902344+[1,745;1,726;1,732;1,733]+1,734+8+1800+1+4083
4+12537+163,16577500152587+[1,754;1,728;1,74;1,743]+1,7412500000000002+8+1800+1+4103
4+12583+153,4746240005493+[1,76;1,733;1,748;1,749]+1,7475+8+1800+1+4123
4+12626+168,1035009994507+[1,766;1,741;1,754;1,754]+1,7537500000000001+8+1800+1+4163
4+12665+175,50480199813842+[1,77;1,746;1,757;1,764]+1,75925+8+1800+1+4183
4+12709+158,56133600234986+[1,777;1,751;1,764;1,768]+1,765+8+1800+1+4203
4+12745+160,93518199920655+[1,782;1,756;1,769;1,773]+1,77+8+1800+1+4224
4+12780+172,8261130027771+[1,787;1,761;1,773;1,779]+1,775+8+1800+1+4266
4+12820+192,9670530014038+[1,794;1,765;1,78;1,783]+1,7805+8+1800+1+4286
4+12858+166,70411700057983+[1,799;1,769;1,786;1,789]+1,7857499999999997+8+1800+1+4306
4+12907+179,07677500152587+[1,806;1,779;1,791;1,795]+1,7927499999999998+8+1800+1+4347
4+12949+177,1008150024414+[1,812;1,785;1,796;1,802]+1,79875+8+1800+1+4367
4+12986+188,44856400299074+[1,818;1,79;1,801;1,806]+1,80375+8+1800+1+4388
4+13034+186,46819999694824+[1,823;1,796;1,809;1,813]+1,81025+8+1800+1+4428
4+13071+184,2455539970398+[1,826;1,805;1,814;1,816]+1,81525+8+1800+1+4452
4+13112+202,07215100097656+[1,833;1,808;1,82;1,823]+1,8210000000000002+8+1800+1+4475
4+13162+185,03540200042724+[1,839;1,815;1,826;1,832]+1,828+8+1800+1+4495
4+13196+194,57028100204468+[1,844;1,819;1,828;1,839]+1,8325+8+1800+1+4536
4+13243+169,93447300338744+[1,852;1,825;1,835;1,846]+1,8395000000000001+8+1800+1+4560
4+13275+187,8463040008545+[1,857;1,829;1,837;1,852]+1,84375+8+1800+1+4580
4+13318+194,34630599975586+[1,863;1,837;1,842;1,857]+1,84975+8+1800+1+4604
4+13351+177,22737799835204+[1,869;1,843;1,846;1,859]+1,85425+8+1800+1+4624
4+13397+197,13327000045777+[1,874;1,851;1,854;1,863]+1,8605+8+1800+1+4668
4+13450+190,30939099884034+[1,881;1,859;1,863;1,869]+1,8679999999999999+8+1800+1+4692
4+13495+181,8122799987793+[1,887;1,863;1,871;1,877]+1,8745+8+1800+1+4715
4+13545+184,72287099838258+[1,894;1,871;1,874;1,886]+1,8812499999999999+8+1800+1+4736
4+13585+181,40154100036622+[1,898;1,874;1,883;1,892]+1,8867500000000001+8+1800+1+4779
4+13636+187,82024499893188+[1,907;1,883;1,888;1,898]+1,894+8+1800+1+4799
4+13677+189,46775299835204+[1,913;1,887;1,892;1,907]+1,89975+8+1800+1+4820
4+13720+184,05858900070191+[1,918;1,893;1,898;1,913]+1,9055+8+1800+1+4844
4+13756+177,1347740020752+[1,923;1,898;1,904;1,917]+1,9104999999999999+8+1800+1+4887
4+13802+187,11150400161742+[1,929;1,903;1,911;1,924]+1,91675+8+1800+1+4907
4+13843+207,16324000167847+[1,936;1,91;1,916;1,929]+1,9227500000000002+8+1800+1+4928
4+13883+202,28043399810792+[1,941;1,916;1,919;1,937]+1,92825+8+1800+1+4949
4+13926+182,5575119972229+[1,947;1,923;1,924;1,942]+1,9340000000000002+8+1800+1+4989
4+13970+183,9007380027771+[1,952;1,931;1,932;1,947]+1,9405+8+1800+1+5012
4+14011+202,92579899978637+[1,958;1,934;1,939;1,952]+1,9457499999999999+8+1800+1+5035
4+14049+192,24453799819946+[1,964;1,942;1,946;1,953]+1,95125+8+1800+1+5056
4+14089+205,48274100112914+[1,969;1,946;1,949;1,964]+1,9569999999999999+8+1800+1+5099
4+14138+196,08840200042724+[1,976;1,953;1,953;1,973]+1,96375+8+1800+1+5120
4+14176+213,3510880012512+[1,981;1,957;1,962;1,977]+1,9692500000000002+8+1800+1+5144
4+14218+210,20546700286866+[1,986;1,965;1,966;1,982]+1,97475+8+1800+1+5164
4+14259+208,71624100112916+[1,992;1,971;1,971;1,988]+1,9805000000000001+8+1800+1+5207
4+14304+203,12911000061035+[2,001;1,977;1,976;1,993]+1,98675+8+1800+1+5227
4+14343+203,48287099838257+[2,006;1,982;1,982;1,999]+1,9922499999999999+8+1800+1+5247
4+14379+204,91897999954224+[2,012;1,986;1,986;2,005]+1,99725+8+1800+1+5288
4+14422+215,87518199920655+[2,018;1,994;1,99;2,01]+2,003+8+1800+1+5308
4+14470+215,67484600067138+[2,024;2;1,998;2,017]+2,00975+8+1800+1+5328
4+14508+191,97208500289918+[2,028;2,007;2,004;2,02]+2,01475+8+1800+1+5368
4+14546+207,2062620010376+[2,033;2,014;2,008;2,026]+2,02025+8+1800+1+5388
4+14583+230,31559400177002+[2,038;2,018;2,015;2,03]+2,0252499999999998+8+1800+1+5411
4+14626+224,42566699981688+[2,043;2,023;2,024;2,035]+2,03125+8+1800+1+5432
4+14669+231,38637800216674+[2,049;2,029;2,03;2,041]+2,03725+8+1800+1+5476
4+14714+229,20826900100707+[2,054;2,038;2,034;2,049]+2,0437499999999997+8+1800+1+5496
4+14763+204,04829899978637+[2,062;2,043;2,037;2,059]+2,05025+8+1800+1+5516
4+14802+213,81890600204468+[2,066;2,047;2,047;2,063]+2,05575+8+1800+1+5556
4+14843+210,50284800338744+[2,071;2,054;2,053;2,068]+2,0615+8+1800+1+5576
4+14882+241,44766300201417+[2,079;2,059;2,055;2,074]+2,06675+8+1800+1+5597
4+14921+219,24144900131225+[2,082;2,066;2,06;2,081]+2,07225+8+1800+1+5639
4+14964+221,88223400115967+[2,088;2,071;2,068;2,086]+2,07825+8+1800+1+5659
4+15004+214,8404289970398+[2,094;2,077;2,074;2,09]+2,0837499999999998+8+1800+1+5680
4+15051+216,68749200057982+[2,1;2,083;2,081;2,098]+2,0904999999999996+8+1800+1+5703
4+15080+226,5162549972534+[2,107;2,086;2,083;2,103]+2,09475+8+1800+1+5743
4+15128+216,97844499969483+[2,111;2,094;2,089;2,111]+2,1012500000000003+8+1800+1+5763
4+15168+241,3100069999695+[2,115;2,104;2,093;2,114]+2,1065+8+1800+1+5784
4+15202+225,34521800231934+[2,122;2,107;2,099;2,118]+2,1115+8+1800+1+5827
4+15252+210,33176300048828+[2,13;2,111;2,109;2,123]+2,1182499999999997+8+1800+1+5848
4+15291+231,79985299682616+[2,133;2,118;2,115;2,128]+2,1235+8+1800+1+5868
4+15329+218,07606200027465+[2,134;2,126;2,121;2,135]+2,129+8+1800+1+5888
4+15356+212,57294800186156+[2,134;2,131;2,124;2,141]+2,1325+8+1800+1+5931
4+15376+218,59601300048828+[2,134;2,132;2,129;2,146]+2,13525+8+1800+1+5952
4+15396+508,80890100097656+[2,134;2,133;2,133;2,153]+2,1382499999999998+8+1800+1+5974
