NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+26,61415899848938+[0;0;0;0]+0+8+600+1+20
4+1807+86,02973999977112+[0,79;0,773;0,71;0,738]+0,75275+8+600+3,0517578125+1460
4+1824+86,02973999977112+[0,798;0,78;0,72;0,742]+0,76+8+600+3,0517578125+1460
4+1810+84,2293629989624+[0,793;0,78;0,703;0,74]+0,754+8+600+3,0517578125+1420
4+1819+84,2293629989624+[0,802;0,785;0,705;0,74]+0,758+8+600+3,0517578125+1420
4+1796+80,85355200004578+[0,797;0,773;0,69;0,733]+0,74825+8+600+3,814697265625+1362
4+1806+80,85355200004578+[0,802;0,777;0,697;0,735]+0,75275+8+600+3,814697265625+1362
4+1817+80,85355200004578+[0,808;0,78;0,7;0,74]+0,7570000000000001+8+600+3,814697265625+1362
4+1787+71,29097900009155+[0,805;0,767;0,687;0,72]+0,74475+8+600+3,814697265625+1308
4+1793+71,29097900009155+[0,81;0,77;0,688;0,72]+0,7469999999999999+8+600+3,814697265625+1308
4+1805+71,29097900009155+[0,813;0,778;0,69;0,727]+0,7519999999999999+8+600+3,814697265625+1308
4+1787+62,89756200027466+[0,795;0,783;0,688;0,712]+0,7444999999999999+8+600+3,814697265625+1252
4+1793+62,89756200027466+[0,797;0,787;0,69;0,715]+0,74725+8+600+3,814697265625+1252
4+1800+62,89756200027466+[0,802;0,79;0,69;0,718]+0,75+8+600+3,814697265625+1252
4+1767+70,72386800003052+[0,767;0,767;0,688;0,723]+0,73625+8+600+3,814697265625+1196
4+1772+70,72386800003052+[0,767;0,768;0,693;0,725]+0,7382500000000001+8+600+3,814697265625+1196
4+1782+70,72386800003052+[0,767;0,772;0,698;0,733]+0,7425+8+600+3,814697265625+1196
4+1711+63,35326300048828+[0,713;0,737;0,675;0,727]+0,713+8+600+3,814697265625+1140
4+1716+63,35326300048828+[0,717;0,737;0,68;0,727]+0,7152499999999999+8+600+3,814697265625+1140
4+1712+63,35326300048828+[0,715;0,735;0,677;0,727]+0,7134999999999999+8+600+3,814697265625+1140
4+1615+59,87815600013733+[0,665;0,685;0,645;0,697]+0,673+8+600+3,814697265625+1080
4+1621+59,87815600013733+[0,667;0,687;0,65;0,698]+0,6755+8+600+3,814697265625+1080
4+1623+59,87815600013733+[0,667;0,688;0,652;0,698]+0,67625+8+600+3,814697265625+1080
4+1520+55,74877799987793+[0,623;0,643;0,603;0,663]+0,633+8+600+3,814697265625+1024
4+1521+55,74877799987793+[0,623;0,643;0,603;0,665]+0,6335+8+600+3,814697265625+1024
4+1410+57,01883300018311+[0,575;0,6;0,56;0,615]+0,5874999999999999+8+600+3,814697265625+970
4+1413+57,01883300018311+[0,575;0,6;0,563;0,617]+0,5887499999999999+8+600+3,814697265625+970
4+1420+57,01883300018311+[0,578;0,603;0,565;0,62]+0,5915+8+600+3,814697265625+970
4+1311+58,70396599960327+[0,537;0,553;0,518;0,577]+0,54625+8+600+3,814697265625+915
4+1314+58,70396599960327+[0,54;0,553;0,518;0,578]+0,54725+8+600+3,814697265625+915
4+1319+58,70396599960327+[0,542;0,557;0,522;0,578]+0,5497500000000001+8+600+3,814697265625+915
4+1215+57,36538199996948+[0,505;0,505;0,485;0,53]+0,5062500000000001+8+600+3,814697265625+860
4+1221+57,36538199996948+[0,507;0,508;0,488;0,532]+0,50875+8+600+3,814697265625+860
4+1226+57,36538199996948+[0,507;0,51;0,49;0,537]+0,511+8+600+3,814697265625+860
4+1111+52,88963399887085+[0,458;0,47;0,438;0,485]+0,46275+8+600+3,814697265625+800
4+1112+52,88963399887085+[0,458;0,472;0,438;0,485]+0,46324999999999994+8+600+3,814697265625+800
4+1117+52,88963399887085+[0,46;0,473;0,443;0,485]+0,46525000000000005+8+600+3,814697265625+800
4+1026+54,49075799942017+[0,418;0,435;0,41;0,447]+0,4275+8+600+3,814697265625+760
4+1029+54,49075799942017+[0,42;0,437;0,412;0,447]+0,429+8+600+3,814697265625+760
4+1028+54,49075799942017+[0,418;0,437;0,41;0,448]+0,42824999999999996+8+600+3,814697265625+760
4+946+48,55945100021362+[0,382;0,398;0,378;0,418]+0,39399999999999996+8+600+3,814697265625+720
4+948+48,55945100021362+[0,383;0,4;0,378;0,418]+0,39475+8+600+3,814697265625+720
4+950+48,55945100021362+[0,385;0,402;0,378;0,418]+0,39575+8+600+3,814697265625+720
4+872+48,50448500061035+[0,368;0,363;0,345;0,377]+0,36325+8+600+3,814697265625+692
4+875+48,50448500061035+[0,37;0,363;0,347;0,378]+0,36450000000000005+8+600+3,814697265625+692
4+808+43,212253999710086+[0,338;0,343;0,318;0,347]+0,3365+8+600+3,814697265625+664
4+810+43,212253999710086+[0,342;0,343;0,318;0,347]+0,3375+8+600+3,814697265625+664
4+814+43,212253999710086+[0,342;0,343;0,323;0,348]+0,33899999999999997+8+600+3,814697265625+664
4+753+44,77241799926758+[0,317;0,322;0,3;0,317]+0,314+8+600+3,814697265625+640
4+754+44,77241799926758+[0,317;0,323;0,3;0,317]+0,31425+8+600+3,814697265625+640
4+758+44,77241799926758+[0,318;0,323;0,303;0,318]+0,3155+8+600+3,814697265625+640
4+697+48,71472299957276+[0,293;0,293;0,285;0,29]+0,29025+8+600+3,814697265625+620
4+699+48,71472299957276+[0,293;0,295;0,285;0,292]+0,29125+8+600+3,814697265625+620
4+705+48,71472299957276+[0,298;0,295;0,287;0,295]+0,29374999999999996+8+600+3,814697265625+620
4+657+44,31772699928284+[0,282;0,27;0,265;0,278]+0,27375000000000005+8+600+3,814697265625+600
4+659+44,31772699928284+[0,283;0,27;0,267;0,278]+0,27449999999999997+8+600+3,814697265625+600
4+661+44,31772699928284+[0,283;0,272;0,268;0,278]+0,27525+8+600+3,814697265625+600
4+624+44,576736999511716+[0,27;0,248;0,257;0,265]+0,26+8+600+3,814697265625+588
4+627+44,576736999511716+[0,27;0,252;0,258;0,265]+0,26125+8+600+3,814697265625+588
4+633+44,576736999511716+[0,273;0,255;0,26;0,267]+0,26375000000000004+8+600+3,814697265625+588
4+590+41,392666999816896+[0,258;0,233;0,243;0,248]+0,2455+8+600+3,814697265625+580
4+591+41,392666999816896+[0,26;0,233;0,243;0,248]+0,246+8+600+3,814697265625+580
4+588+41,392666999816896+[0,26;0,228;0,242;0,25]+0,245+8+600+3,814697265625+580
4+546+48,87495599937439+[0,243;0,213;0,223;0,23]+0,22724999999999998+8+600+3,814697265625+568
4+551+48,87495599937439+[0,245;0,213;0,225;0,235]+0,22949999999999998+8+600+3,814697265625+568
4+544+48,87495599937439+[0,242;0,213;0,22;0,232]+0,22674999999999998+8+600+3,814697265625+568
4+512+46,199626998901365+[0,225;0,198;0,207;0,223]+0,21325+8+600+3,814697265625+556
4+514+46,199626998901365+[0,225;0,198;0,21;0,223]+0,214+8+600+3,814697265625+556
4+482+44,3087439994812+[0,217;0,187;0,198;0,202]+0,201+8+600+3,814697265625+552
4+485+44,3087439994812+[0,218;0,187;0,202;0,202]+0,20224999999999999+8+600+3,814697265625+552
4+486+44,3087439994812+[0,218;0,187;0,203;0,202]+0,2025+8+600+3,814697265625+552
4+450+39,208670000076296+[0,203;0,165;0,193;0,188]+0,18724999999999997+8+600+3,814697265625+544
4+450+39,208670000076296+[0,203;0,165;0,193;0,188]+0,18724999999999997+8+600+3,814697265625+544
4+456+39,208670000076296+[0,205;0,165;0,198;0,192]+0,19+8+600+3,814697265625+544
4+436+47,346811000823976+[0,193;0,16;0,19;0,183]+0,1815+8+600+2,86102294921875+544
4+438+47,346811000823976+[0,193;0,163;0,19;0,183]+0,18225000000000002+8+600+2,86102294921875+544
4+434+47,346811000823976+[0,193;0,162;0,188;0,18]+0,18074999999999997+8+600+2,86102294921875+544
4+402+39,37787400054932+[0,18;0,143;0,177;0,17]+0,16749999999999998+8+600+2,86102294921875+544
4+404+39,37787400054932+[0,183;0,142;0,178;0,17]+0,16824999999999998+8+600+2,86102294921875+544
4+377+39,683053998947145+[0,165;0,132;0,17;0,162]+0,15725000000000003+8+600+2,86102294921875+544
4+382+39,683053998947145+[0,17;0,133;0,172;0,162]+0,15925+8+600+2,86102294921875+544
