NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+20,129081000089645+[0;0;0;0]+0+8+1800+1+20
4+2762+63,722822999954225+[2,025;2,179;2,443;2,583]+2,3075+8+299,25+1+1054
4+2677+54,04871399974823+[1,948;2,132;2,363;2,503]+2,2365+8+299,25+1+1052
4+2592+63,97215100002289+[1,878;2,062;2,282;2,439]+2,16525+8+299,25+1+1052
4+2505+60,41256500005722+[1,811;1,962;2,249;2,349]+2,09275+8+299,25+1+1056
4+2398+61,04258199977875+[1,728;1,905;2,145;2,236]+2,0035000000000003+8+299,25+1+1056
4+2323+59,00216500043869+[1,671;1,818;2,085;2,189]+1,94075+8+299,25+1+1052
4+2266+72,80206699991226+[1,614;1,778;2,005;2,175]+1,893+8+299,25+1+1052
4+2184+59,6635609998703+[1,564;1,688;1,952;2,095]+1,8247499999999999+8+299,25+1+1052
4+2090+65,24325699996949+[1,494;1,611;1,871;2,008]+1,746+8+299,25+1+1056
4+1993+67,74480399990082+[1,397;1,52;1,801;1,942]+1,665+8+299,25+1+1056
4+1900+56,39174199962616+[1,33;1,45;1,738;1,831]+1,58725+8+299,25+1+1052
4+1827+54,965539999961855+[1,327;1,377;1,651;1,751]+1,5265+8+299,25+1+1052
4+1785+67,15788800001144+[1,333;1,323;1,604;1,704]+1,4909999999999999+8+299,25+1+1052
4+1727+63,16722100019455+[1,323;1,307;1,504;1,637]+1,4427500000000002+8+299,25+1+1055
4+1686+68,35046700000763+[1,34;1,307;1,43;1,557]+1,4085+8+299,25+1+1056
4+1648+69,2373109998703+[1,33;1,317;1,393;1,467]+1,37675+8+299,25+1+1056
4+1600+61,84452999973297+[1,323;1,307;1,33;1,387]+1,3367499999999999+8+299,25+1+1052
4+1598+65,42968300008773+[1,327;1,29;1,36;1,363]+1,335+8+299,25+1+1052
