NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+858+52,97934399414063+[0,357;0,355;0,373;0,345]+0,3575+0,5512422222222221+8+600+1+1680+1604869908300+1604869308300
4+874+53,87852699279785+[0,367;0,36;0,378;0,352]+0,36424999999999996+0,5147222222222225+8+600+1+1700+1604869916300+1604869316300
4+887+50,979672012329104+[0,368;0,363;0,388;0,358]+0,36924999999999997+0,44653222222222233+8+600+1+1740+1604869924300+1604869324300
4+902+50,73426699829101+[0,37;0,37;0,395;0,368]+0,37575000000000003+0,5610055555555554+8+600+1+1760+1604869932300+1604869332300
4+916+59,695221008300784+[0,378;0,373;0,398;0,377]+0,3815+0,621839722222222+8+600+1+1780+1604869940300+1604869340300
4+931+50,180817001342774+[0,388;0,375;0,405;0,383]+0,38775000000000004+0,8028674999999998+8+600+1+1820+1604869948300+1604869348300
4+942+51,8241369934082+[0,393;0,377;0,408;0,392]+0,39249999999999996+0,8979705555555555+8+600+1+1840+1604869956300+1604869356300
4+958+52,209148010253905+[0,403;0,387;0,412;0,395]+0,39925+1,0103711111111109+8+600+1+1860+1604869964300+1604869364300
4+976+60,030433990478514+[0,417;0,397;0,413;0,4]+0,40675000000000006+1,2249908333333326+8+600+1+1900+1604869972300+1604869372300
4+997+53,0207619934082+[0,437;0,407;0,417;0,402]+0,41574999999999995+1,3430033333333333+8+600+1+1920+1604869980300+1604869380300
4+1028+55,34788299560547+[0,462;0,42;0,427;0,405]+0,4285+1,4001752777777783+8+600+1+1940+1604869988300+1604869388300
4+1059+58,605677001953126+[0,478;0,442;0,438;0,407]+0,44125+1,4808747222222216+8+600+1+1980+1604869996300+1604869396300
4+1083+53,24517999267578+[0,493;0,453;0,447;0,412]+0,45125+1,5269752777777783+8+600+1+2000+1604870004300+1604869404300
4+1125+52,831121002197264+[0,517;0,472;0,462;0,425]+0,46900000000000003+1,5707500000000008+8+600+1+2020+1604870012300+1604869412300
4+1149+54,73844499206543+[0,533;0,48;0,468;0,433]+0,4785+1,5518172222222215+8+600+1+2032+1604870020300+1604869420300
4+1167+57,70835299682617+[0,54;0,488;0,473;0,443]+0,486+1,5854377777777786+8+600+1+2032+1604870028300+1604869428300
4+1201+55,291650009155276+[0,555;0,503;0,485;0,458]+0,5002500000000001+1,605932222222221+8+600+1+2032+1604870036300+1604869436300
4+1229+56,57367799377442+[0,567;0,518;0,502;0,462]+0,51225+1,606308333333334+8+600+1+2032+1604870044300+1604869444300
4+1246+57,737542999267575+[0,57;0,528;0,512;0,467]+0,51925+1,5405302777777767+8+600+1+2032+1604870052300+1604869452300
4+1279+53,860300003051755+[0,582;0,545;0,527;0,478]+0,5329999999999999+1,5610999999999997+8+600+1+2032+1604870060300+1604869460300
4+1315+54,1109409942627+[0,598;0,557;0,537;0,5]+0,548+1,5379611111111104+8+600+1+2032+1604870068300+1604869468300
4+1337+56,44495799255371+[0,607;0,555;0,555;0,512]+0,55725+1,5588911111111106+8+600+1+2032+1604870076300+1604869476300
4+1367+52,150546997070315+[0,623;0,562;0,568;0,525]+0,5695+1,5457555555555558+8+600+1+2032+1604870084300+1604869484300
4+1392+55,9300890045166+[0,63;0,58;0,577;0,533]+0,58+1,5626277777777777+8+600+1+2032+1604870092300+1604869492300
4+1416+58,57097898864746+[0,645;0,583;0,578;0,553]+0,58975+1,5969944444444446+8+600+1+2032+1604870100300+1604869500300
4+1439+59,11635398864746+[0,653;0,6;0,588;0,557]+0,5995+1,5524755555555556+8+600+1+2032+1604870108300+1604869508300
4+1468+54,498237991333006+[0,667;0,61;0,602;0,568]+0,61175+1,5684500000000001+8+600+1+2032+1604870116300+1604869516300
4+1493+54,31947900390625+[0,665;0,632;0,613;0,578]+0,622+1,5492900000000005+8+600+1+2032+1604870124300+1604869524300
4+1513+54,24675700378418+[0,673;0,635;0,625;0,588]+0,63025+1,5739102777777776+8+600+1+2032+1604870132300+1604869532300
4+1548+56,628234008789065+[0,697;0,642;0,64;0,602]+0,64525+1,542820277777778+8+600+1+2032+1604870140300+1604869540300
4+1572+62,296149993896485+[0,703;0,645;0,657;0,615]+0,655+1,6024800000000001+8+600+1+2032+1604870148300+1604869548300
4+1605+56,60363600158691+[0,717;0,655;0,665;0,638]+0,66875+1,5872938888888888+8+600+1+2032+1604870156300+1604869556300
