NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+4147+93,74922100019455+[1,84;1,775;1,685;1,612]+1,7280000000000002+8+600+1,953125+1940
4+4173+87,67561800003051+[1,838;1,798;1,688;1,63]+1,7385+8+600+1,953125+1919
4+4215+87,67561800003051+[1,852;1,813;1,7;1,66]+1,75625+8+600+1,953125+1919
4+4237+96,13993099975586+[1,858;1,823;1,703;1,677]+1,76525+8+600+1,953125+1903
4+4256+97,13877100038529+[1,863;1,835;1,727;1,668]+1,77325+8+600+1,953125+1883
4+4325+97,13877100038529+[1,885;1,863;1,753;1,707]+1,802+8+600+1,953125+1883
4+4332+89,96436000013351+[1,898;1,865;1,767;1,69]+1,8049999999999997+8+600+1,953125+1863
4+4336+86,27785900020599+[1,908;1,867;1,758;1,693]+1,8064999999999998+8+600+1,953125+1840
4+4381+86,27785900020599+[1,927;1,888;1,768;1,718]+1,82525+8+600+1,953125+1840
4+4401+86,41123600006104+[1,932;1,907;1,763;1,733]+1,8337500000000002+8+600+2,44140625+1817
4+4419+86,41123600006104+[1,94;1,905;1,782;1,738]+1,84125+8+600+2,44140625+1817
4+4423+98,1876970000267+[1,94;1,908;1,795;1,728]+1,8427499999999999+8+600+2,44140625+1787
4+4395+89,83694999980926+[1,933;1,888;1,785;1,718]+1,831+8+600+2,44140625+1758
4+4449+89,83694999980926+[1,962;1,908;1,79;1,755]+1,85375+8+600+2,44140625+1758
4+4435+76,44023200035095+[1,957;1,907;1,78;1,748]+1,848+8+600+2,44140625+1727
4+4464+76,44023200035095+[1,963;1,915;1,793;1,768]+1,85975+8+600+2,44140625+1727
4+4457+84,19669099998474+[1,967;1,915;1,79;1,757]+1,85725+8+600+2,44140625+1697
4+4503+84,19669099998474+[1,988;1,94;1,803;1,773]+1,876+8+600+2,44140625+1697
4+4486+91,5188810005188+[1,982;1,935;1,802;1,758]+1,8692499999999999+8+600+2,44140625+1667
4+4532+91,5188810005188+[2,008;1,95;1,82;1,775]+1,8882500000000002+8+600+2,44140625+1667
4+4522+78,77349100017548+[2,002;1,94;1,825;1,77]+1,8842499999999998+8+600+3,0517578125+1630
