NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+4100+87,09219999694824+[0,459;0,455;0,459;0,45]+0,45575+0,6402777777777776+8+2250+1+4000+1604874907974+1604872657974
4+4124+88,23452900695801+[0,461;0,456;0,462;0,454]+0,45825+0,6287311111111111+8+2250+1+4020+1604874915974+1604872665974
4+4144+97,28132299804687+[0,462;0,459;0,465;0,456]+0,4605+0,6180866666666663+8+2250+1+4040+1604874923974+1604872673974
4+4160+93,23130899047851+[0,464;0,46;0,467;0,457]+0,462+0,5805441666666665+8+2250+1+4080+1604874931974+1604872681974
4+4178+95,38519300842285+[0,466;0,461;0,469;0,46]+0,46399999999999997+0,5438888888888888+8+2250+1+4100+1604874939974+1604872689974
4+4194+102,18844599914551+[0,467;0,464;0,471;0,462]+0,466+0,4955555555555555+8+2250+1+4120+1604874947974+1604872697974
4+4207+96,61430999755859+[0,468;0,464;0,473;0,464]+0,46725+0,5095088888888895+8+2250+1+4160+1604874955974+1604872705974
4+4225+89,10737600708008+[0,47;0,465;0,475;0,468]+0,46950000000000003+0,44855972222222246+8+2250+1+4182+1604874963974+1604872713974
4+4238+89,8228219909668+[0,472;0,467;0,476;0,468]+0,47075+0,46640333333333367+8+2250+1+4202+1604874971974+1604872721974
4+4250+93,1720709991455+[0,631;0,625;0,636;0,628]+0,63+0,49+8+1687,5+1+4222+1604874979974+1604873292474
4+4269+90,60470100402831+[0,633;0,628;0,638;0,631]+0,6325000000000001+0,52+8+1687,5+1+4263+1604874987974+1604873300474
4+4280+92,23054200744629+[0,635;0,63;0,64;0,632]+0,6342500000000001+0,5319444444444447+8+1687,5+1+4283+1604874995974+1604873308474
4+4291+94,15207099914551+[0,637;0,631;0,642;0,633]+0,63575+0,5413888888888891+8+1687,5+1+4303+1604875003974+1604873316474
4+4246+97,79172700500489+[0,843;0,831;0,846;0,837]+0,83925+0,5542697222222223+8+1265,25+1+4244+1604875011974+1604873746724
4+4250+89,0033269958496+[0,843;0,831;0,847;0,839]+0,84+0,5559144444444443+8+1265,25+1+4244+1604875019974+1604873754724
4+4248+99,82262600708007+[0,841;0,835;0,846;0,835]+0,8392499999999999+0,5530555555555559+8+1265,25+1+4244+1604875027974+1604873762724
4+4249+106,62844799804688+[0,839;0,838;0,845;0,836]+0,8395+0,5636111111111108+8+1265,25+1+4244+1604875035974+1604873770724
4+4250+92,90338800048828+[0,839;0,835;0,848;0,837]+0,83975+0,5808333333333335+8+1265,25+1+4244+1604875043974+1604873778724
4+4252+96,38359100341796+[0,841;0,832;0,852;0,835]+0,84+0,5472288888888888+8+1265,25+1+4244+1604875051974+1604873786724
4+4251+101,31548600769042+[0,837;0,835;0,852;0,836]+0,84+0,4924527777777779+8+1265,25+1+4244+1604875059974+1604873794724
4+4251+98,46336799621582+[0,837;0,836;0,846;0,84]+0,83975+0,490338888888889+8+1265,25+1+4244+1604875067974+1604873802724
4+4254+90,55113400268554+[0,84;0,835;0,849;0,839]+0,84075+0,5288888888888889+8+1265,25+1+4244+1604875075974+1604873810724
4+3711+81,4202859954834+[0,978;0,971;0,986;0,977]+0,9779999999999999+0,5483333333333333+8+948,75+1+3192+1604875083974+1604874135224
4+3708+75,05065299987793+[0,976;0,975;0,982;0,975]+0,977+0,5700000000000002+8+948,75+1+3192+1604875091974+1604874143224
4+3709+87,96423300170899+[0,979;0,973;0,983;0,974]+0,97725+0,5500000000000003+8+948,75+1+3192+1604875099974+1604874151224
4+3710+79,38814700317383+[0,978;0,972;0,987;0,974]+0,9777499999999999+0,5331155555555552+8+948,75+1+3192+1604875107974+1604874159224
4+3712+73,91769400024414+[0,979;0,97;0,987;0,977]+0,97825+0,5468255555555556+8+948,75+1+3192+1604875115974+1604874167224
4+3714+73,88596699523926+[0,98;0,973;0,984;0,977]+0,9784999999999999+0,5891666666666667+8+948,75+1+3192+1604875123974+1604874175224
4+3712+74,2544109954834+[0,978;0,969;0,986;0,98]+0,97825+0,5461111111111114+8+948,75+1+3192+1604875131974+1604874183224
4+3713+76,1588150024414+[0,979;0,974;0,983;0,977]+0,97825+0,5616666666666668+8+948,75+1+3192+1604875139974+1604874191224
4+3714+78,84642700195313+[0,977;0,977;0,984;0,976]+0,9784999999999999+0,5498780555555556+8+948,75+1+3192+1604875147974+1604874199224
4+3709+76,3842980041504+[0,976;0,977;0,983;0,973]+0,97725+0,5579572222222223+8+948,75+1+3192+1604875155974+1604874207224
4+3708+83,09935899353027+[0,977;0,974;0,984;0,973]+0,977+0,5016447222222225+8+948,75+1+3192+1604875163974+1604874215224
4+3711+76,53828399658204+[0,976;0,976;0,986;0,974]+0,978+0,4965347222222223+8+948,75+1+3192+1604875171974+1604874223224
4+3707+72,31597999572755+[0,98;0,975;0,981;0,971]+0,97675+0,5130555555555552+8+948,75+1+3192+1604875179974+1604874231224
4+3705+94,03710000610351+[0,977;0,975;0,981;0,972]+0,97625+0,4847222222222222+8+948,75+1+3192+1604875187974+1604874239224
4+3704+74,97953100585937+[0,977;0,977;0,98;0,97]+0,976+0,5122222222222224+8+948,75+1+3192+1604875195974+1604874247224
4+3705+77,21624699401856+[0,975;0,981;0,979;0,97]+0,9762500000000001+0,5195266666666667+8+948,75+1+3192+1604875203974+1604874255224
4+3714+72,89326499938964+[0,98;0,981;0,983;0,97]+0,9784999999999999+0,5352472222222229+8+948,75+1+3192+1604875211974+1604874263224
4+3702+78,08742399597168+[0,97;0,98;0,983;0,969]+0,9754999999999999+0,5245044444444443+8+948,75+1+3192+1604875219974+1604874271224
4+3694+76,97204000854492+[0,962;0,977;0,986;0,969]+0,9734999999999999+0,5438888888888885+8+948,75+1+3192+1604875227974+1604874279224
4+3684+80,7740059967041+[0,954;0,971;0,984;0,974]+0,97075+0,5352777777777779+8+948,75+1+3192+1604875235974+1604874287224
4+3670+80,5207559967041+[0,947;0,963;0,984;0,974]+0,9670000000000001+0,4672222222222223+8+948,75+1+3192+1604875243974+1604874295224
