TIMESTAMP,MIN_TIME,MAX_TIME,MEAN_TIME,STDEV_TIME,MIN_TIME_A,MAX_TIME_A,MEAN_TIME_A,STDEV_TIME_A,MIN_WIN,MAX_WIN,MEAN_WIN,STDEV_WIN
1662925471155,2.228,2.228,2.228,0,0.117416861,0.117416861,0.117416861,0,90,90,90,0
1662925501155,2.228,2.228,2.228,0,0.114133731,0.114133731,0.114133731,0,90,90,90,0
1662925531155,2.229,2.229,2.229,0,0.115493495,0.115493495,0.115493495,0,90,90,90,0
1662925561155,2.225,2.225,2.225,0,0.113398073,0.113398073,0.113398073,0,90,90,90,0
1662925591155,2.226,2.226,2.226,0,0.115373975,0.115373975,0.115373975,0,90,90,90,0
1662925621155,2.217,2.217,2.217,0,0.112523047,0.112523047,0.112523047,0,90,90,90,0
1662925651155,2.224,2.224,2.224,0,0.114594205,0.114594205,0.114594205,0,90,90,90,0
1662925681155,2.228,2.228,2.228,0,0.115374201,0.115374201,0.115374201,0,90,90,90,0
1662925711155,2.221,2.221,2.221,0,0.11578316200000001,0.11578316200000001,0.11578316200000001,0,90,90,90,0
1662925741155,2.227,2.227,2.227,0,0.115434937,0.115434937,0.115434937,0,90,90,90,0
1662925771155,2.225,2.225,2.225,0,0.119446625,0.119446625,0.119446625,0,90,90,90,0
1662925801155,2.223,2.223,2.223,0,0.11346177299999999,0.11346177299999999,0.11346177299999999,0,90,90,90,0
1662925831155,2.223,2.223,2.223,0,0.118833036,0.118833036,0.118833036,0,90,90,90,0
1662925861155,2.223,2.223,2.223,0,0.114684069,0.114684069,0.114684069,0,90,90,90,0
1662925891155,2.225,2.225,2.225,0,0.11323532,0.11323532,0.11323532,0,90,90,90,0
1662925921155,2.232,2.232,2.232,0,0.117541134,0.117541134,0.117541134,0,90,90,90,0
1662925951155,2.228,2.228,2.228,0,0.114213968,0.114213968,0.114213968,0,90,90,90,0
1662925981155,2.221,2.221,2.221,0,0.117118512,0.117118512,0.117118512,0,90,90,90,0
1662926011155,2.225,2.225,2.225,0,0.113687074,0.113687074,0.113687074,0,90,90,90,0
1662926041155,2.23,2.23,2.23,0,0.115297187,0.115297187,0.115297187,0,90,90,90,0
1662926071155,2.225,2.225,2.225,0,0.117009063,0.117009063,0.117009063,0,90,90,90,0
1662926101155,2.214,2.214,2.214,0,0.11532068300000001,0.11532068300000001,0.11532068300000001,0,90,90,90,0
1662926131155,2.223,2.223,2.223,0,0.114399158,0.114399158,0.114399158,0,90,90,90,0
1662926161155,2.217,2.217,2.217,0,0.11464643599999999,0.11464643599999999,0.11464643599999999,0,90,90,90,0
1662926191155,2.221,2.221,2.221,0,0.115307732,0.115307732,0.115307732,0,90,90,90,0
1662926221155,2.216,2.216,2.216,0,0.11602275899999999,0.11602275899999999,0.11602275899999999,0,90,90,90,0
1662926251155,2.226,2.226,2.226,0,0.11775055799999999,0.11775055799999999,0.11775055799999999,0,90,90,90,0
1662926281155,2.226,2.226,2.226,0,0.114942402,0.114942402,0.114942402,0,90,90,90,0
