NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+854+50,28809600830078+[0,119;0,117;0,123;0,115]+0,1185+0,5493222222222224+8+1800+1+1680+1604878789046+1604876989046
4+869+49,718690002441406+[0,122;0,119;0,124;0,117]+0,1205+0,5147222222222223+8+1800+1+1700+1604878797046+1604876997046
4+882+48,94150100708008+[0,123;0,12;0,128;0,119]+0,1225+0,44525027777777804+8+1800+1+1740+1604878805046+1604877005046
4+900+53,476002990722655+[0,124;0,122;0,131;0,123]+0,125+0,5652338888888886+8+1800+1+1760+1604878813046+1604877013046
4+912+51,97839599609375+[0,126;0,123;0,132;0,126]+0,12675+0,6209838888888889+8+1800+1+1780+1604878821046+1604877021046
4+926+48,92792599487305+[0,129;0,124;0,133;0,128]+0,1285+0,8021591666666668+8+1800+1+1820+1604878829046+1604877029046
4+937+50,401688995361326+[0,131;0,124;0,134;0,131]+0,13+0,8932388888888886+8+1800+1+1840+1604878837046+1604877037046
4+955+55,43552099609375+[0,136;0,127;0,136;0,132]+0,13275+1,0085577777777777+8+1800+1+1860+1604878845046+1604877045046
4+970+63,79818200683594+[0,139;0,131;0,136;0,133]+0,13475+1,2281847222222224+8+1800+1+1900+1604878853046+1604877053046
4+991+51,0503279876709+[0,146;0,134;0,137;0,134]+0,13775+1,3409733333333342+8+1800+1+1920+1604878861046+1604877061046
4+1023+52,46254699707031+[0,154;0,138;0,141;0,135]+0,14200000000000002+1,3947794444444443+8+1800+1+1940+1604878869046+1604877069046
4+1052+55,07911000061035+[0,159;0,145;0,144;0,136]+0,146+1,477375+8+1800+1+1980+1604878877046+1604877077046
4+1079+54,13539300537109+[0,166;0,149;0,147;0,137]+0,14975+1,5261663888888886+8+1800+1+2000+1604878885046+1604877085046
4+1119+56,57011199951172+[0,172;0,156;0,152;0,142]+0,1555+1,5691177777777774+8+1800+1+2020+1604878893046+1604877093046
4+1156+53,61594400024414+[0,179;0,162;0,157;0,144]+0,1605+1,5500816666666666+8+1800+1+2060+1604878901046+1604877101046
4+1183+52,7827080078125+[0,184;0,166;0,16;0,148]+0,1645+1,583672222222222+8+1800+1+2080+1604878909046+1604877109046
4+1232+58,71118699645996+[0,191;0,172;0,166;0,155]+0,171+1,6093533333333339+8+1800+1+2100+1604878917046+1604877117046
4+1274+56,5845890045166+[0,196;0,179;0,173;0,159]+0,17675000000000002+1,6271844444444443+8+1800+1+2140+1604878925046+1604877125046
