RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,5.250299086,0.22556981099999998,15,52.463300683657906,15,50,1656625435002,1656625382538.6992,3,3.2,16,0,1656625500140,1656625500641,1656625505289,46,4
1,4.970922772,0.229859925,15,39.34747551274343,15,40,1656625450002,1656625410654.5244,3,3.2,16,0,1656625515433,1656625515934,1656625520010,47,4
1,1.595550371,0.17650331700000002,15,29.510606634557572,15,30,1656625465002,1656625435491.3933,3,3.2,16,0,1656625530053,1656625530553,1656625531635,48,4
1,1.6230433960000001,0.267253326,15,36.88825829319696,15,40,1656625480002,1656625443113.7417,3,3.2,16,0,1656625545056,1656625545558,1656625546663,49,4
1,1.560966092,0.23125026199999998,15,46.110322866496205,15,40,1656625495002,1656625448891.6772,3,3.2,16,0,1656625560055,1656625560555,1656625561602,50,4
1,2.494295544,0.288330604,15,57.637903583120256,15,50,1656625510002,1656625452364.0964,3,3.2,16,0,1656625575078,1656625575579,1656625577535,51,4
1,2.496205701,0.36260173500000004,15,72.04737947890033,15,60,1656625525002,1656625452954.6206,3,3.2,16,0,1656625590090,1656625590590,1656625592537,52,4
1,3.975783855,0.444216525,15,90.0592243486254,15,70,1656625540002,1656625449942.7756,3,3.2,16,0,1656625605416,1656625605916,1656625609017,53,4
1,5.486790936,0.24862783300000002,15,67.54441826146905,15,60,1656625555002,1656625487457.5818,3,3.2,16,1,1656625620403,1656625621402,1656625625529,54,4
1,2.892835384,0.171958142,15,50.658313696101786,15,40,1656625570002,1656625519343.6863,3,3.2,16,0,1656625635122,1656625635622,1656625637937,55,4
1,4.356767238000001,0.25954286200000004,15,63.322892120127236,15,50,1656625585002,1656625521679.108,3,3.2,16,0,1656625650123,1656625650625,1656625654400,56,4
1,1.6554166540000002,0.158165687,15,47.49216909009543,15,40,1656625600002,1656625552509.8308,3,3.2,16,0,1656625665302,1656625665802,1656625666698,57,4
1,4.172299943,0.21381069,15,59.36521136261929,15,50,1656625615002,1656625555636.7886,3,3.2,16,0,1656625680401,1656625680901,1656625684216,58,4
1,1.455234527,0.143256519,15,44.52390852196447,15,40,1656625630002,1656625585478.0916,3,3.2,16,0,1656625695213,1656625695713,1656625696499,59,4
1,4.278856523,0.261374689,15,55.65488565245559,15,50,1656625645002,1656625589347.1143,3,3.2,16,0,1656625710359,1656625710859,1656625714322,60,4
1,2.230731162,0.295841641,15,41.74116423934169,15,40,1656625660002,1656625618260.8357,3,3.2,16,0,1656625725061,1656625725562,1656625727274,61,4
1,2.455756697,0.279237289,15,52.176455299177114,15,50,1656625675002,1656625622825.5447,3,3.2,16,0,1656625740068,1656625740569,1656625742499,62,4
1,5.523088928999999,0.29082485100000005,15,65.22056912397139,15,50,1656625690002,1656625624781.431,3,3.2,16,0,1656625755328,1656625755828,1656625760567,63,4
1,6.278675934,0.206745473,15,48.91542684297854,15,40,1656625705002,1656625656086.5732,3,3.2,16,0,1656625770060,1656625770560,1656625776322,64,4
1,6.218668193,0.300186539,15,36.6865701322339,15,40,1656625720002,1656625683315.43,3,3.2,16,0,1656625785062,1656625785562,1656625791263,65,4
1,3.0536569279999997,0.150231218,15,27.51492759917543,15,30,1656625735002,1656625707487.0725,3,3.2,16,0,1656625800329,1656625800829,1656625803098,66,4
1,1.627833989,0.11206779400000001,15,27.51492759917543,15,30,1656625750002,1656625722487.0725,3,3.2,16,0,1656625815228,1656625815728,1656625816672,67,4
1,1.566038759,0.16560956500000001,15,34.393659498969285,15,30,1656625765002,1656625730608.3406,3,3.2,16,0,1656625830058,1656625830558,1656625831610,68,4
1,1.582909342,0.21467097100000002,15,42.9920743737116,15,40,1656625780002,1656625737009.9255,3,3.2,16,0,1656625845060,1656625845560,1656625846628,69,4
1,1.553117712,0.21755039199999998,15,53.7400929671395,15,50,1656625795002,1656625741261.907,3,3.2,16,0,1656625860132,1656625860636,1656625861598,70,4
1,1.619777061,0.224094166,15,67.17511620892438,15,60,1656625810002,1656625742826.8838,3,3.2,16,0,1656625875192,1656625875692,1656625876664,71,4
1,4.468870053,0.327250528,15,83.96889526115547,15,70,1656625825002,1656625741033.1047,3,3.2,16,0,1656625890725,1656625891229,1656625894513,72,4
1,2.2896869470000003,0.28405291499999996,15,62.9766714458666,15,50,1656625840002,1656625777025.3286,3,3.2,16,0,1656625905066,1656625905567,1656625907334,73,4
1,3.961408789,0.389079877,15,78.72083930733325,15,60,1656625855002,1656625776281.1606,3,3.2,16,0,1656625920421,1656625920921,1656625924006,74,4
