RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES,ESC
1,1.814242084,0.684986672,15,65536,15,240,1656873775378,1656808239378,3,3.2,2,0,1656873840462,1656873840962,1656873842236,46,4,undefined
1,1.8054970909999999,0.6820564809999999,15,65536,15,240,1656873790378,1656808254378,3,3.2,2,0,1656873855468,1656873855968,1656873857227,47,4,undefined
1,1.833517032,0.6666636140000001,15,65536,15,240,1656873805378,1656808269378,3,3.2,2,0,1656873870464,1656873870965,1656873872256,48,4,undefined
1,1.830789695,0.656029101,15,65536,15,240,1656873820378,1656808284378,3,3.2,2,0,1656873885463,1656873885964,1656873887253,49,4,undefined
1,1.9299754359999999,0.6702944519999999,15,65536,15,240,1656873835378,1656808299378,3,3.2,2,0,1656873900465,1656873900966,1656873902353,50,4,undefined
1,1.81343325,0.65490343,15,65536,15,240,1656873850378,1656808314378,3,3.2,2,0,1656873915468,1656873915969,1656873917238,51,4,undefined
1,1.862900607,0.660375908,15,65536,15,240,1656873865378,1656808329378,3,3.2,2,0,1656873930467,1656873930967,1656873932289,52,4,undefined
1,1.804528669,0.680206,15,65536,15,240,1656873880378,1656808344378,3,3.2,2,0,1656873945469,1656873945970,1656873947230,53,4,undefined
1,1.8427256239999998,0.6818989249999999,15,65536,15,240,1656873895378,1656808359378,3,3.2,2,0,1656873960473,1656873960973,1656873962269,54,4,undefined
1,1.811520778,0.664552615,15,65536,15,240,1656873910378,1656808374378,3,3.2,2,0,1656873975464,1656873975964,1656873977237,55,4,undefined
1,1.7834897109999999,0.666672955,15,65536,15,240,1656873925378,1656808389378,3,3.2,2,0,1656873990466,1656873990966,1656873992210,56,4,undefined
1,1.821747452,0.669872932,15,65536,15,240,1656873940378,1656808404378,3,3.2,2,0,1656874005465,1656874005966,1656874007249,57,4,undefined
1,1.808039234,0.65780169,15,65536,15,240,1656873955378,1656808419378,3,3.2,2,0,1656874020473,1656874020974,1656874022235,58,4,undefined
1,1.832574032,0.671082313,15,65536,15,240,1656873970378,1656808434378,3,3.2,2,0,1656874035465,1656874035966,1656874037260,59,4,undefined
