NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+7811+54,5635830078125+[3,352;3,303;3,193;3,17]+3,2544999999999997+4,67737888888889+8+600+1+2028+1604866260939+1604865660939
4+7896+54,98612199401855+[3,408;3,338;3,232;3,182]+3,2900000000000005+4,605151944444445+8+600+1+2028+1604866268939+1604865668939
4+7976+62,01260900878906+[3,425;3,365;3,272;3,232]+3,3235+4,627551944444443+8+600+1+2028+1604866276939+1604865676939
4+8049+55,793912002563474+[3,457;3,413;3,295;3,25]+3,35375+4,732028611111108+8+600+1+2028+1604866284939+1604865684939
4+8155+56,20800799560547+[3,512;3,443;3,338;3,298]+3,39775+4,7369444444444495+8+600+1+2028+1604866292939+1604865692939
4+8223+56,82827700805664+[3,53;3,467;3,382;3,327]+3,4265+4,6521144444444475+8+600+1+2028+1604866300939+1604865700939
4+8307+57,24639898681641+[3,57;3,495;3,412;3,368]+3,46125+4,737664166666667+8+600+1+2028+1604866308939+1604865708939
4+8400+59,341953002929685+[3,613;3,548;3,417;3,422]+3,5+4,774214166666665+8+600+1+2028+1604866316939+1604865716939
4+8466+52,65591700744629+[3,645;3,563;3,462;3,44]+3,5275+4,810208055555556+8+600+1+2028+1604866324939+1604865724939
4+8553+55,14347700500488+[3,68;3,618;3,49;3,467]+3,56375+4,818179722222224+8+600+1+2028+1604866332939+1604865732939
4+8641+56,305419998168944+[3,718;3,643;3,53;3,51]+3,60025+4,674561944444447+8+600+1+2028+1604866340939+1604865740939
4+8720+57,56680101013183+[3,755;3,675;3,577;3,527]+3,6334999999999997+4,135181666666663+8+600+1+2028+1604866348939+1604865748939
4+8813+56,65496499633789+[3,792;3,717;3,602;3,578]+3,67225+3,771271666666665+8+600+1+2028+1604866356939+1604865756939
4+8906+61,49620700073242+[3,83;3,755;3,635;3,623]+3,71075+3,4789649999999988+8+600+1+2028+1604866364939+1604865764939
4+8957+55,43543299865723+[3,827;3,782;3,653;3,667]+3,73225+3,047516666666666+8+600+1+2028+1604866372939+1604865772939
4+9004+56,01653498840332+[3,783;3,813;3,702;3,708]+3,7515+2,8768899999999986+8+600+1+2028+1604866380939+1604865780939
4+9031+54,68636199951172+[3,757;3,823;3,728;3,743]+3,76275+2,6537916666666668+8+600+1+2028+1604866388939+1604865788939
4+9032+60,328210998535155+[3,722;3,803;3,762;3,767]+3,7635+2,054218055555557+8+600+1+2028+1604866396939+1604865796939
4+9009+63,131906997680666+[3,683;3,77;3,748;3,813]+3,7535000000000003+1,9309911111111109+8+600+1+2028+1604866404939+1604865804939
4+9008+53,82090299987793+[3,667;3,757;3,755;3,835]+3,7535+1,8694708333333339+8+600+1+2028+1604866412939+1604865812939
4+8930+56,5989520111084+[3,615;3,722;3,728;3,818]+3,72075+1,6998472222222216+8+600+1+2028+1604866420939+1604865820939
4+8877+55,060740997314454+[3,58;3,7;3,702;3,813]+3,69875+1,6366908333333323+8+600+1+2028+1604866428939+1604865828939
4+8822+52,769389999389645+[3,555;3,663;3,678;3,807]+3,6757500000000003+1,6142552777777783+8+600+1+2028+1604866436939+1604865836939
4+8748+55,61688800048828+[3,52;3,603;3,663;3,793]+3,64475+1,581896111111112+8+600+1+2028+1604866444939+1604865844939
4+8668+57,054488998413085+[3,487;3,568;3,627;3,765]+3,61175+1,4912505555555553+8+600+1+2028+1604866452939+1604865852939
4+8598+58,10155400085449+[3,46;3,538;3,595;3,737]+3,5825+1,4856388888888892+8+600+1+2028+1604866460939+1604865860939
4+8505+56,73663299560547+[3,418;3,497;3,548;3,712]+3,54375+1,509915833333334+8+600+1+2028+1604866468939+1604865868939
4+8417+58,121738998413086+[3,378;3,465;3,517;3,668]+3,5069999999999997+1,4628663888888878+8+600+1+2028+1604866476939+1604865876939
4+8361+57,497764999389645+[3,353;3,448;3,5;3,633]+3,4835000000000003+1,4955833333333333+8+600+1+2028+1604866484939+1604865884939
4+8243+57,0362259979248+[3,29;3,395;3,458;3,595]+3,4345000000000003+1,5512969444444442+8+600+1+2028+1604866492939+1604865892939
4+8172+55,07851499938965+[3,27;3,358;3,432;3,56]+3,4050000000000002+1,5792438888888884+8+600+1+2028+1604866500939+1604865900939
4+8101+55,6780890045166+[3,243;3,307;3,42;3,532]+3,3754999999999997+1,5859247222222221+8+600+1+2028+1604866508939+1604865908939
4+8014+60,230348999023434+[3,208;3,275;3,365;3,508]+3,3390000000000004+1,5873272222222214+8+600+1+2028+1604866516939+1604865916939
4+7927+60,221158996582034+[3,175;3,243;3,318;3,475]+3,3027499999999996+1,5807122222222216+8+600+1+2028+1604866524939+1604865924939
4+7852+56,2490950012207+[3,158;3,212;3,282;3,435]+3,2717500000000004+1,5948666666666664+8+600+1+2028+1604866532939+1604865932939
4+7757+54,46282499694824+[3,115;3,168;3,248;3,397]+3,232+1,6289944444444446+8+600+1+2028+1604866540939+1604865940939
4+7687+54,646573989868166+[3,087;3,148;3,21;3,367]+3,2030000000000003+1,5578763888888891+8+600+1+2028+1604866548939+1604865948939
4+7623+53,02901899719238+[3,07;3,105;3,205;3,325]+3,1762499999999996+1,5273700000000001+8+600+1+2028+1604866556939+1604865956939
4+7505+61,07794000244141+[3,013;3,058;3,158;3,278]+3,12675+1,4738202777777774+8+600+1+2028+1604866564939+1604865964939
4+7428+56,04269300842285+[2,978;3,023;3,113;3,265]+3,0947500000000003+1,5301997222222221+8+600+1+2028+1604866572939+1604865972939
4+7374+56,503071990966795+[2,962;2,997;3,09;3,242]+3,07275+1,5267125000000004+8+600+1+2028+1604866580939+1604865980939
4+7243+54,01114799499512+[2,898;2,957;3,035;3,182]+3,0180000000000002+1,6251891666666662+8+600+1+2028+1604866588939+1604865988939
4+7177+55,05295899963379+[2,868;2,953;2,995;3,145]+2,9902499999999996+1,6661119444444448+8+600+1+2027+1604866596939+1604865996939
4+7125+57,04053999328613+[2,848;2,928;2,972;3,127]+2,96875+1,7183369444444445+8+600+1+2028+1604866604939+1604866004939
4+7008+58,48062899780273+[2,805;2,862;2,942;3,072]+2,9202500000000002+1,6854863888888878+8+600+1+2028+1604866612939+1604866012939
4+6955+56,778016998291015+[2,78;2,848;2,92;3,043]+2,8977500000000003+1,6135147222222221+8+600+1+2028+1604866620939+1604866020939
4+6893+56,46642399597168+[2,752;2,825;2,872;3,04]+2,87225+1,5685622222222224+8+600+1+2028+1604866628939+1604866028939
4+6780+54,60694200134277+[2,705;2,773;2,822;3]+2,825+1,6370755555555567+8+600+1+2028+1604866636939+1604866036939
4+6716+63,74006100463867+[2,677;2,738;2,823;2,955]+2,79825+1,5890080555555557+8+600+1+2028+1604866644939+1604866044939
4+6625+51,128645004272464+[2,648;2,695;2,797;2,902]+2,7605000000000004+1,5321986111111119+8+600+1+2028+1604866652939+1604866052939
4+6530+61,68305099487305+[2,612;2,658;2,743;2,87]+2,72075+1,581537777777777+8+600+1+2028+1604866660939+1604866060939
4+6471+53,15941999816894+[2,593;2,63;2,713;2,848]+2,6959999999999997+1,5378549999999997+8+600+1+2028+1604866668939+1604866068939
4+6402+56,43468399047852+[2,572;2,588;2,685;2,825]+2,6675000000000004+1,5785088888888887+8+600+1+2028+1604866676939+1604866076939
