NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+21,032827001571654+[0;0;0;0]+0+8+1800+1+20
4+2195+78,53921199989318+[1,244;1,296;1,312;1,291]+1,2857500000000002+8+426,75+1+1456
4+2188+79,74684899902344+[1,247;1,291;1,308;1,282]+1,282+8+426,75+1+1456
4+2199+77,37326499938965+[1,258;1,293;1,317;1,284]+1,288+8+426,75+1+1456
4+2195+75,15148600006104+[1,251;1,296;1,308;1,289]+1,2859999999999998+8+426,75+1+1456
4+2191+70,56061399841309+[1,247;1,303;1,303;1,282]+1,28375+8+426,75+1+1456
4+2202+70,39123900032044+[1,247;1,308;1,305;1,301]+1,2902500000000001+8+426,75+1+1456
4+2194+72,71539900016785+[1,242;1,308;1,308;1,284]+1,2854999999999999+8+426,75+1+1456
4+2186+69,27253999900817+[1,247;1,301;1,312;1,263]+1,28075+8+426,75+1+1456
4+2194+84,72065400123596+[1,235;1,296;1,329;1,282]+1,2855+8+426,75+1+1456
4+2203+75,38242700004578+[1,242;1,303;1,329;1,289]+1,2907499999999998+8+426,75+1+1456
4+2212+84,59046899986267+[1,249;1,308;1,319;1,308]+1,296+8+426,75+1+1456
4+2222+72,17415399932861+[1,27;1,298;1,333;1,305]+1,3014999999999999+8+426,75+1+1456
4+2206+75,1992880001068+[1,268;1,291;1,322;1,289]+1,2925+8+426,75+1+1456
4+2212+79,84341500091553+[1,268;1,308;1,322;1,286]+1,296+8+426,75+1+1456
4+2219+71,27600099945069+[1,261;1,308;1,331;1,301]+1,30025+8+426,75+1+1456
4+2202+81,53965500068665+[1,247;1,301;1,324;1,289]+1,29025+8+426,75+1+1454
4+2190+77,3544610004425+[1,23;1,291;1,319;1,291]+1,28275+8+426,75+1+1456
4+2190+88,54830299949646+[1,214;1,289;1,331;1,298]+1,283+8+426,75+1+1456
4+2167+81,48194299888611+[1,193;1,258;1,319;1,308]+1,2695+8+426,75+1+1456
4+2146+79,43631800079346+[1,188;1,244;1,298;1,298]+1,2570000000000001+8+426,75+1+1456
4+2129+73,63427700042725+[1,167;1,228;1,293;1,301]+1,24725+8+426,75+1+1456
4+2102+68,81713800048828+[1,155;1,207;1,284;1,279]+1,23125+8+426,75+1+1456
4+2080+77,4896730003357+[1,151;1,186;1,272;1,265]+1,2185+8+426,75+1+1456
4+2050+80,77361400032044+[1,141;1,158;1,251;1,254]+1,201+8+426,75+1+1456
4+2014+79,08021000099183+[1,111;1,153;1,219;1,237]+1,1800000000000002+8+426,75+1+1454
4+1986+83,96872400093079+[1,094;1,141;1,19;1,228]+1,1632500000000001+8+426,75+1+1456
4+1965+81,26904099845886+[1,083;1,115;1,195;1,211]+1,151+8+426,75+1+1456
4+1928+77,01864599990844+[1,066;1,097;1,181;1,174]+1,1295000000000002+8+426,75+1+1456
4+1900+78,35692799949646+[1,062;1,071;1,155;1,165]+1,11325+8+426,75+1+1456
4+1880+70,58805499839782+[1,047;1,062;1,136;1,16]+1,10125+8+426,75+1+1456
4+1857+75,83272299957275+[1,031;1,043;1,134;1,144]+1,0879999999999999+8+426,75+1+1456
